project_name,rera_id,promoter_name,district,project_type,developer_name,locality,city,land_area,number_of_towers,number_of_floors,total_units,unit_types,unit_sizes,project_status,possession_date,price_range,is_high_rise,source_url_99acres,faq_url_99acres,extraction_source
ANANT BEST HOMES,UPRERAPRJ16440,"Promoter

SAJID KHAN",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
ANMOL RESIDENCY,UPRERAPRJ15168,"Promoter

ASHOKA BUILDERS",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,https://www.99acres.com/anmol-residency-kharghar-navi-mumbai-npxid-r194103,https://www.99acres.com/anmol-faqs-residency-kharghar-navi-mumbai-npxid-r194103,
ANTARA NOIDA PHASE 1,UPRERAPRJ745377,"Promoter

CONTEND BUILDERS PVT.LTD.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,https://www.99acres.com/eureka-park-by-tata-value-homes-sector-150-noida-npxid-r270000,https://www.99acres.com/eureka-faqs-park-by-tata-value-homes-sector-150-noida-npxid-r270000,
ANTRIKSH GOLF CITY ( PHASE II ),UPRERAPRJ6971,"Promoter

CONTEND INFRASTRUCTURE PRIVATE LIMITED ( ANTRIKSH",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
ANTRIKSH GOLF CITY ( PHASE III ),UPRERAPRJ6978,"Promoter

CONTEND INFRASTRUCTURE PRIVATE LIMITED ( ANTRIKSH",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
ANTRIKSH GOLF CITY ( PHASE IV ),UPRERAPRJ6984,"Promoter

CONTEND INFRASTRUCTURE PRIVATE LIMITED ( ANTRIKSH",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,https://www.99acres.com/twin-city-walk-ambesten-homes-noida-extension-noida-npxid-r401983,https://www.99acres.com/twin-faqs-city-walk-ambesten-homes-noida-extension-noida-npxid-r401983,
ANTRIKSH GOLF CITY ( PHASE V),UPRERAPRJ6994,"Promoter

CONTEND INFRASTRUCTURE PRIVATE LIMITED ( ANTRIKSH",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
ANTRIKSH GOLF CITY ( PHASE-1),UPRERAPRJ6911,"Promoter

CONTEND INFRASTRUCTURE PRIVATE LIMITED ( ANTRIKSH",Gautam Buddha Nagar,Residential,,,,4.94 acres,,,,,,,,,,https://www.99acres.com/aims-golf-avenue-2-sector-75-noida-npxid-r23142,https://www.99acres.com/aims-faqs-golf-avenue-2-sector-75-noida-npxid-r23142,DDG Snippet
Antriksh Golf Link (Phase 3),UPRERAPRJ10913,"Promoter

M/S ANTRIKSH ENGINEERS PRIVATE LIMITED ( ANTRIKSH",Gautam Buddha Nagar,Residential,,,,4.94 acres,,,,,,,,,,https://www.99acres.com/aims-golf-avenue-2-sector-75-noida-npxid-r23142,https://www.99acres.com/aims-faqs-golf-avenue-2-sector-75-noida-npxid-r23142,DDG Snippet
Antriksh Golf Link Phase 2,UPRERAPRJ10510,"Promoter

M/S ANTRIKSH ENGINEERS PRIVATE LIMITED ( ANTRIKSH",Gautam Buddha Nagar,Residential,,,,4.94 acres,,,,,,,,,,https://www.99acres.com/aims-golf-avenue-2-sector-75-noida-npxid-r23142,https://www.99acres.com/aims-faqs-golf-avenue-2-sector-75-noida-npxid-r23142,DDG Snippet
ANTRIKSH GOLF LINKS (PHASE-1),UPRERAPRJ10360,"Promoter

M/S ANTRIKSH ENGINEERS PRIVATE LIMITED ( ANTRIKSH",Gautam Buddha Nagar,Residential,,,,15 acres,,,,"2,3,4 BHK",,Ready to move,,,,https://www.99acres.com/antriksh-golf-links-noida-extension-noida-npxid-r27762,https://www.99acres.com/antriksh-faqs-golf-links-noida-extension-noida-npxid-r27762,DDG Snippet
Antriksh Golf View - I (Phase - II),UPRERAPRJ10944,"Promoter

ANTRIKSH DEVELOPERS & PROMOTERS PVT LTD ( ANTRIKSH",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Antriksh Golf View I,UPRERAPRJ10343,"Promoter

ANTRIKSH DEVELOPERS & PROMOTERS PVT LTD ( ANTRIKSH",Gautam Buddha Nagar,Residential,,,,4.94 acres,,,,,,,,,,https://www.99acres.com/aims-golf-avenue-2-sector-75-noida-npxid-r23142,https://www.99acres.com/aims-faqs-golf-avenue-2-sector-75-noida-npxid-r23142,DDG Snippet
Antriksh Golf View II - Phase I,UPRERAPRJ10857,"Promoter

COLORFUL ESTATES PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
ANTRIKSH GOLF VIEW II ( PHASE II),UPRERAPRJ7097,"Promoter

COLORFUL ESTATES PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,2 BHK,,Ready to move,,,,https://www.99acres.com/antriksh-golf-view-sector-78-noida-npxid-r54618,https://www.99acres.com/antriksh-faqs-golf-view-sector-78-noida-npxid-r54618,DDG Snippet
ANTRIKSH GOLF VIEW II- COMMERCIAL,UPRERAPRJ11308,"Promoter

COLORFUL ESTATES PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
ANTRIKSH GRAND VIEW,UPRERAPRJ7509,"Promoter

CONSORTIUM INFRASTRUCTURE PVT LTD (ANTRIKSH INDIA",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,https://www.99acres.com/eureka-park-by-tata-value-homes-reviews-ratings-sector-150-noida-npxid-r270000,https://www.99acres.com/eureka-faqs-park-by-tata-value-homes-reviews-ratings-sector-150-noida-npxid-r270000,
