project_name,rera_id,promoter_name,district,project_type,developer_name,locality,city,land_area,number_of_towers,number_of_floors,total_units,unit_types,unit_sizes,project_status,possession_date,price_range,is_high_rise,source_url_99acres,faq_url_99acres,extraction_source
BULLAND ELEVATES,UPRERAPRJ4967,"Promoter

BULLAND BUILDTECH PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,N/A (Plotted),,,,,,,,,,,
Capital Athena (Phase-1),UPRERAPRJ6310,"Promoter

CAPITAL INFRATECHOMES PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
CAPITAL ATHENA (Phase-2),UPRERAPRJ6377,"Promoter

CAPITAL INFRATECHOMES PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
CASA GRANDE,UPRERAPRJ10265,"Promoter

EARTHCON CONSTRUCTIONS PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,https://www.99acres.com/casagrand-vogue-arasankalani-chennai-south-npxid-r35116,https://www.99acres.com/casagrand-faqs-vogue-arasankalani-chennai-south-npxid-r35116,
CASA GRANDE-2,UPRERAPRJ4491,"Promoter

EARTHCON CONSTRUCTIONS PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
CASA GRANDE2-TOWERA1,UPRERAPRJ391718/03/2026,"Promoter

EARTHCON CONSTRUCTIONS PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
CASA GREENS1,UPRERAPRJ3708,"Promoter

RADHEY KRISHNA TECHNO BUILD PVT LTD",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
CASA ROYALE & SANSKRITI,UPRERAPRJ4689,"Promoter

EARTHCON UNIVERSAL INFRATECH PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
CASA WOODSTOCK,UPRERAPRJ2855,"Promoter

ANGELS INFRAHEIGHT PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,Ready to move,,,,https://www.99acres.com/casa-woodstock-sector-16c-greater-noida-npxid-r5960,https://www.99acres.com/casa-faqs-woodstock-sector-16c-greater-noida-npxid-r5960,DDG Snippet
CIRCUIT HEIGHTS,UPRERAPRJ13904,"Promoter

MSA DEVELOPERS PVT. LTD.",Gautam Buddha Nagar,Residential,,,,,,,,,,Under Construction,,,,https://www.99acres.com/circuit-heights-yamuna-expressway-greater-noida-npxid-r24334,https://www.99acres.com/circuit-faqs-heights-yamuna-expressway-greater-noida-npxid-r24334,DDG Snippet
Civitech Strings,UPRERAPRJ646272,"Promoter

SA.G.Realtech Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,Under Construction,,,,https://www.99acres.com/civitech-strings-sector-12-greater-noida-west-greater-noida-npxid-r373839,https://www.99acres.com/civitech-faqs-strings-sector-12-greater-noida-west-greater-noida-npxid-r373839,DDG Snippet
"Cleo County ,Phase -2,(Comprising towers A-3,A-4,A",UPRERAPRJ2369,"Promoter

IV COUNTY PVT LTD",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"Cleo County ,Phase -3,(Comprising towers E1,E2,E3,",UPRERAPRJ2437,"Promoter

IV COUNTY PVT LTD",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"Cleo County, Ph 1 ( comprising of tower D1 D2 C1 C",UPRERAPRJ5931,"Promoter

IV County Pvt Ltd",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Clove County,UPRERAPRJ696539/11/2025,"Promoter

Shirja Real Estate Solutions Pvt. Ltd.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Coco County,UPRERAPRJ958386,"Promoter

Shirja Real Estate Solutions Pvt. Ltd.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
County One O Seven,UPRERAPRJ837374,"Promoter

Countyconcept Developers LLP
ACE INRACITY DEVELOPERS PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
CRC Joyous,UPRERAPRJ613747,"Promoter

CRC Homes Private Limited
HABITECH INFRASTRUCTURE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
CRC MAESTA,UPRERAPRJ724518/07/2024,"Promoter

CRC Homes Private Limited
COMELY BUILDTECH INDIA PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
CRC SUBLIMIS,UPRERAPRJ15180,"Promoter

Enticement Infrastructure Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Crossroad,UPRERAPRJ10126,"Promoter

anil gupta",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Curio City,UPRERAPRJ14041,"Promoter

ORRIS INFRASTRUCTURE PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
DAFFODIL TOWER L (ELEMENTS & CONVINIENT SHOPS),UPRERAPRJ11424,"Promoter

MPG REALTY PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
DEVIKA GOLD HOMZ,UPRERAPRJ5398,"Promoter

DEVIKA GOLD HOMZ PVT. LTD.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Divyansh Flora,UPRERAPRJ3601,"Promoter

Divyansh Infraheight Pvt. Ltd.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Divyansh Flora,UPRERAPRJ8174,"Promoter

Divyansh Infraheight Pvt. Ltd.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
DIVYANSH GREEN HEIGHTS,UPRERAPRJ120773/08/2025,"Promoter

PRASU DIVYANSH INFRAHEIGHT LLP",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Dream Homes-2,UPRERAPRJ13810,"Promoter

MAAN PROPERTIES AND DEVELOPERS PVT. LTD.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
DURVA GREENS,UPRERAPRJ1440,"Promoter

KAMRUP HOUSING PROJECT PVT. LTD.",Gautam Buddha Nagar,Residential,,,,,,,,,,Ready to move,,,,https://www.99acres.com/kamrup-durva-greens-sector-chi-5-greater-noida-npxid-r8286,https://www.99acres.com/kamrup-faqs-durva-greens-sector-chi-5-greater-noida-npxid-r8286,DDG Snippet
Earth Gracia,UPRERAPRJ9893,"Promoter

EARTH GRACIA BUILDCON PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,Under Construction,,,,https://www.99acres.com/earth-gracia-sector-1-greater-noida-west-greater-noida-npxid-r6868,https://www.99acres.com/earth-faqs-gracia-sector-1-greater-noida-west-greater-noida-npxid-r6868,DDG Snippet
Earth Towne,UPRERAPRJ10012,"Promoter

EARTH INFRASTRUCTURES LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
ECO VILLAGE-II (PHASE-I),UPRERAPRJ4112,"Promoter

SUPERTECH LIMITED",Gautam Buddha Nagar,Residential,,,,,N/A (Plotted),,,,,,,,,,,
EKANAM,UPRERAPRJ510056/09/2025,"Promoter

GreatValue Projects India Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Eldeco 7 Peaks Residences,UPRERAPRJ106523/01/2026,"Promoter

Eldeco Homes Developers Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"ELDECO AAMANTRAN(INSPIRE & EDGE
- This project has been completed.",UPRERAPRJ1916,"Promoter

Eldeco Infrastructure and Properties Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Eldeco Ballads of Bliss,UPRERAPRJ921261/05/2025,"Promoter

Eldeco Goodliving Properties Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
ELDECO ECHOES OF EDEN,UPRERAPRJ125342/02/2026,"Promoter

Eldeco Sohna Projects Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Eldeco La Vida Bella,UPRERAPRJ136219/04/2024,"Promoter

Eldeco Real Estate Limited",Gautam Buddha Nagar,Residential,,,,,,,,"2,3,4 BHK",,,,,,https://www.99acres.com/eldeco-la-vida-bella-sector-12-greater-noida-west-greater-noida-npxid-r415650,https://www.99acres.com/eldeco-faqs-la-vida-bella-sector-12-greater-noida-west-greater-noida-npxid-r415650,DDG Snippet
ELDECO LIVE BY THE GREENS (PHASE I),UPRERAPRJ15172,"Promoter

Wondrous Buildmart Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Eldeco Live By The Greens Phase -III,UPRERAPRJ575706,"Promoter

Wondrous Buildmart Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Eldeco Live By the Greens Phase-II,UPRERAPRJ121123,"Promoter

Wondrous Buildmart Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,https://www.99acres.com/eldeco-live-by-the-greens-sector-150-noida-npxid-r300125,https://www.99acres.com/eldeco-faqs-live-by-the-greens-sector-150-noida-npxid-r300125,
Eldeco Whispers of Wonder,UPRERAPRJ752382/09/2025,"Promoter

Eldeco Sohna Projects Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
ELEGANT SPLENDOUR PHASE-1,UPRERAPRJ10243,"Promoter

ELEGANT INFRACON PVT LTD
FLORAL REALTECH PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
ELEGANT SPLENDOUR PHASE-3,UPRERAPRJ10279,"Promoter

ELEGANT INFRACON PVT LTD
FLORAL REALTECH PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
ELEGANT VILLE PHASE-1,UPRERAPRJ10120,"Promoter

ELEGANT INFRACON PVT LTD",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
ELEGANT VILLE PHASE-3,UPRERAPRJ10224,"Promoter

ELEGANT INFRACON PVT LTD",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
ELEGANT VILLE PHASE-4,UPRERAPRJ10234,"Promoter

ELEGANT INFRACON PVT LTD",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
ELITE GOLF GREENS,UPRERAPRJ4654,"Promoter

GOLFGREEN MANSIONS PVT. LTD.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Elite X,UPRERAPRJ916631/02/2024,"Promoter

GOLFGREEN MANSIONS PVT. LTD.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"Emerald Court Phase II (Apex & Ceyane)
- Demolished as per the order of Hon'ble Superme Court",UPRERAPRJ11486,"Promoter

SUPERTECH LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
EMINENCE - PHASE 1,UPRERAPRJ11733,"Promoter

ABET BUILDCON PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Eminence Phase-2,UPRERAPRJ828955,"Promoter

ELICIT REALTECH PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Eros Sampoornam 2,UPRERAPRJ301564,"Promoter

AJAY ENTERPRISES PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Eros Sampoornam 3,UPRERAPRJ512436/07/2024,"Promoter

AJAY ENTERPRISES PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
EROS SAMPOORNAM I,UPRERAPRJ972907,"Promoter

AJAY ENTERPRISES PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,https://www.99acres.com/eros-sampoornam-sector-2-greater-noida-npxid-r5452,https://www.99acres.com/eros-faqs-sampoornam-sector-2-greater-noida-npxid-r5452,
Estate 128,UPRERAPRJ446459,"Promoter

Max Estates 128 Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,Under Construction,,,,https://www.99acres.com/max-estates-128-sector-128-noida-npxid-r410958,https://www.99acres.com/max-faqs-estates-128-sector-128-noida-npxid-r410958,DDG Snippet
Estate 128 - II,UPRERAPRJ294911/12/2024,"Promoter

Max Estates 128 Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,Under Construction,,,,https://www.99acres.com/max-estates-128-sector-128-noida-npxid-r410958,https://www.99acres.com/max-faqs-estates-128-sector-128-noida-npxid-r410958,DDG Snippet
Eureka Park - Phase 2,UPRERAPRJ469983,"Promoter

Land Kart Builders Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,https://www.99acres.com/eureka-park-by-tata-value-homes-floor-plan-sector-150-noida-npxid-r270000,https://www.99acres.com/eureka-faqs-park-by-tata-value-homes-floor-plan-sector-150-noida-npxid-r270000,
EUREKA PARK-PHASE 1,UPRERAPRJ5448,"Promoter

Land Kart Builders Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
EWS AASRA ZONE I (E01- E16),UPRERAPRJ5563,"Promoter

M/s Uttam Steels & Associates { Consortium) throug
ANSAL HI-TECH TOWNSHIPS LTD",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,https://www.99acres.com/ansal-aasra-avom-bharosa-chamrawali-bodaki-greater-noida-npxid-r224205,https://www.99acres.com/ansal-faqs-aasra-avom-bharosa-chamrawali-bodaki-greater-noida-npxid-r224205,
EWS Aasra ZONE II (E17-E32),UPRERAPRJ5561,"Promoter

M/s Uttam Steels & Associates { Consortium) throug
ANSAL HI-TECH TOWNSHIPS LTD",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
EWS AASRA ZONE III (E33- E80),UPRERAPRJ5606,"Promoter

M/s Uttam Steels & Associates { Consortium) throug
ANSAL HI-TECH TOWNSHIPS LTD",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Exotica Dreamville Phase-III (Tower T-1 & T-2),UPRERAPRJ9577,"Promoter

Exotica Housing & Infrastructure Projects Pvt Ltd.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Exotica Dreamville Phase-IV (Tower T-14 &T-15),UPRERAPRJ5545,"Promoter

Exotica Housing & Infrastructure Projects Pvt Ltd.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Experion Elements Phase-1,UPRERAPRJ120027/04/2024,"Promoter

Experion Developers Pvt. Ltd",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Experion Elements Phase-2,UPRERAPRJ953234/04/2024,"Promoter

Experion Developers Pvt. Ltd",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Experion SAATORI,UPRERAPRJ747628/01/2026,"Promoter

Experion Developers Pvt. Ltd",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Express Astra (Phase-1),UPRERAPRJ479698,"Promoter

Express Projects Pvt. Ltd.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Express Astra (Phase-II),UPRERAPRJ229234,"Promoter

Express Projects Pvt. Ltd.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"Express Zenith (Phase 2, Tower B and C)",UPRERAPRJ3393,"Promoter

Express Builders & Promoters Pvt. Ltd.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
EXPRESS ZENITH (TOWER A),UPRERAPRJ980703/04/2024,"Promoter

Express Builders & Promoters Pvt. Ltd.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
F PREMIERE (PHASE 1),UPRERAPRJ7115,"Promoter

HOME AND SOUL INFRATECH PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
F PREMIERE (PHASE 2),UPRERAPRJ7173,"Promoter

HOME AND SOUL INFRATECH PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
F PREMIERE (PHASE 3),UPRERAPRJ7195,"Promoter

HOME AND SOUL INFRATECH PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
FAIRWAY ZONE-1,UPRERAPRJ3983,"Promoter

M/s Uttam Steels & Associates { Consortium) throug
ANSAL HI-TECH TOWNSHIPS LTD",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
FAIRWAY ZONE-2 (Tower F & K),UPRERAPRJ4526,"Promoter

M/s Uttam Steels & Associates { Consortium) throug
ANSAL HI-TECH TOWNSHIPS LTD",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
FAIRWAY ZONE-3 (Tower E & L),UPRERAPRJ4814,"Promoter

M/s Uttam Steels & Associates { Consortium) throug
ANSAL HI-TECH TOWNSHIPS LTD",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"FAIRWAY ZONE-4 (Tower A, G, H, J & I)",UPRERAPRJ4863,"Promoter

M/s Uttam Steels & Associates { Consortium) throug
ANSAL HI-TECH TOWNSHIPS LTD",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
FAIRWAY ZONE-5 (TOWER C&D),UPRERAPRJ5677,"Promoter

M/s Uttam Steels & Associates { Consortium) throug
ANSAL HI-TECH TOWNSHIPS LTD",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
FLORA HERITAGE,UPRERAPRJ13277,"Promoter

SOLARIS REALTECH PVT. LTD.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"FORESTE, PHASE-I (COMPRISING TOWERS T1, T2, T3,T8,",UPRERAPRJ3680,"Promoter

AURA BUILDWELL PVT. LTD.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"FORESTE, PHASE-II (COMPRISING TOWERS T4, T5,T9)",UPRERAPRJ3777,"Promoter

AURA BUILDWELL PVT. LTD.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
FRENCH APARTMENTS,UPRERAPRJ2744,"Promoter

ANTHEM INFRASTRUCTURE PVT. LTD.",Gautam Buddha Nagar,Residential,,,,,,,,"2,3 BHK",,,,,,https://www.99acres.com/anthem-french-apartments-sector-16-b-greater-noida-npxid-r7450,https://www.99acres.com/anthem-faqs-french-apartments-sector-16-b-greater-noida-npxid-r7450,DDG Snippet
Fusion Homes,UPRERAPRJ3302,"Promoter

Fusion Buildtech Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Future estate (Phase-fe-1),UPRERAPRJ7361,"Promoter

FUTUREWORLD GREENHOMES PVT. LTD.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Future Estate (Phase -fe-4),UPRERAPRJ7399,"Promoter

FUTUREWORLD GREENHOMES PVT. LTD.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Future Estate (Phase-fe-3),UPRERAPRJ7386,"Promoter

FUTUREWORLD GREENHOMES PVT. LTD.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Future Estate(Phase-Fe-2),UPRERAPRJ7369,"Promoter

FUTUREWORLD GREENHOMES PVT. LTD.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"G.H. Scheme (Omaxe Riyaasat) on Plot No. GH-I,II,",UPRERAPRJ6157,"Promoter

Omaxe Buildhome Private Limited",Gautam Buddha Nagar,Residential,,,,,N/A (Plotted),,,,,,,,,,,
Galaxy North Avenue (Tower G),UPRERAPRJ5458,"Promoter

Galaxy International Realtech Pvt. Ltd.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"Galaxy North Avenue II - Towers A,B & D",UPRERAPRJ4506,"Promoter

Galaxy Dream Home Developers pvt ltd",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
GALAXY ROYALE Ph1 Towers A Keshav/B Gokul/CSC,UPRERAPRJ5806,"Promoter

PRITHVEELINK BUILDWELL PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"GALAXY ROYALE ,Phase-2(Tower C Vrindavan,Club)",UPRERAPRJ5836,"Promoter

PRITHVEELINK BUILDWELL PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Galaxy Vega - Tower F&G and CSC Green Arcade,UPRERAPRJ4890,"Promoter

PANCH TATVA PROMOTERS PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Gardenia Gateway,UPRERAPRJ7346,"Promoter

FUTEC SHELTERS PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Gardenia Gateway (Phase-I),UPRERAPRJ11023,"Promoter

GARDENIA INDIA LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Gardenia Gateway (Phase-II),UPRERAPRJ11037,"Promoter

GARDENIA INDIA LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Gaur Atulyam,UPRERAPRJ6838,"Promoter

UP Township Infrastructure Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
GAUR CHRYSALIS (PHASE 1),UPRERAPRJ622344/11/2025,"Promoter

Gaursons Promoters Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Gaur Mulberry Mansions - FH-02,UPRERAPRJ7057,"Promoter

Gaursons India Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Gaur Mulberry Mansions - FH-03,UPRERAPRJ4897,"Promoter

Gaursons Hi-Tech Infrastructure Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Gaur Saundaryam (Phase-2),UPRERAPRJ6335,"Promoter

Gaursons Realty Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Gaur Sportswood,UPRERAPRJ3528,"Promoter

Gaursons Sportswood Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
GAYATRI AURA,UPRERAPRJ7084,"Promoter

GAYATRI HOSPITALITY AND REAL CON LIMITED
FLORAL HOMES PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
GAYATRI LIFE,UPRERAPRJ7360,"Promoter

GAYATRI INFRA PLANNER PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"GH-06, SEC-22A, YEIDA, PHASE 1 (YAMUNOTRI)",UPRERAPRJ9384,"Promoter

Yamuna Expressway Industrial devlopment Authority",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"GH06, Sec-22D, YEIDA",UPRERAPRJ8947,"Promoter

Yamuna Expressway Industrial devlopment Authority",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
GH-07/75 GOLF CITY,UPRERAPRJ7234,"Promoter

Aims Max Gardenia Developers Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
GH-08/75 (PHASE-1) GOLF CITY,UPRERAPRJ11463,"Promoter

Aims Max Gardenia Developers Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
GH-08/75 (PHASE-2) GOLF CITY,UPRERAPRJ11479,"Promoter

Aims Max Gardenia Developers Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
GH-08/75 (PHASE-3) GOLF CITY,UPRERAPRJ11481,"Promoter

Aims Max Gardenia Developers Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
GH-11/75 (PHASE-1) GOLF CITY,UPRERAPRJ11485,"Promoter

Aims Max Gardenia Developers Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
GH-11/75 (PHASE-2) GOLF CITY,UPRERAPRJ11547,"Promoter

Aims Max Gardenia Developers Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
GH-11/75 (PHASE-3) GOLF CITY,UPRERAPRJ11557,"Promoter

Aims Max Gardenia Developers Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
GH-11/75 (PHASE-4) GOLF CITY,UPRERAPRJ11563,"Promoter

Aims Max Gardenia Developers Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
GLORY 46 (PHASE-1),UPRERAPRJ11573,"Promoter

Gardenia Aims Developers Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
GLORY 46 (PHASE-2),UPRERAPRJ11594,"Promoter

Gardenia Aims Developers Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
GLORY 46 (PHASE-3),UPRERAPRJ11598,"Promoter

Gardenia Aims Developers Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
GLORY 46 (PHASE-4),UPRERAPRJ11608,"Promoter

Gardenia Aims Developers Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
GLORY 46 (PHASE-5),UPRERAPRJ11614,"Promoter

Gardenia Aims Developers Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
GLORY 46 (PHASE-6),UPRERAPRJ11626,"Promoter

Gardenia Aims Developers Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
GLORY 46 (PHASE-7),UPRERAPRJ11633,"Promoter

Gardenia Aims Developers Private Limited",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Glory Apartments,UPRERAPRJ6586,"Promoter

Unibera Hospitality Services Pvt. Ltd.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Godrej Arden,UPRERAPRJ110163/08/2025,"Promoter

Godrej Properties Limited",Gautam Buddha Nagar,Residential,,,,9.58 acres,9,,956,4 BHK,,,,,,https://www.99acres.com/godrej-arden-faqs-sigma-3-greater-noida-npxid-r441943,https://www.99acres.com/godrej-faqs-arden-faqs-sigma-3-greater-noida-npxid-r441943,DDG Snippet
GODREJ NEST PHASE-1,UPRERAPRJ13521,"Promoter

BRICK RISE DEVELOPERS PVT. LTD.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
GODREJ NEST PHASE-2,UPRERAPRJ14252,"Promoter

BRICK RISE DEVELOPERS PVT. LTD.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Godrej Nurture Phase-1,UPRERAPRJ17861,"Promoter

BRICK RISE DEVELOPERS PVT. LTD.",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Godrej Palm Retreat 1,UPRERAPRJ745601,"Promoter

ACE INFRACITY DEVELOPERS PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,1 BHK,,Under Construction,,,,https://www.99acres.com/godrej-palm-retreat-sector-150-noida-npxid-r333137,https://www.99acres.com/godrej-faqs-palm-retreat-sector-150-noida-npxid-r333137,DDG Snippet
Godrej Palm Retreat 2,UPRERAPRJ124632,"Promoter

ACE INFRACITY DEVELOPERS PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
"Godrej Woods Phase-1
- This project has been completed.",UPRERAPRJ704730,"Promoter

Roseberry Estate LLP",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Godrej Woods Phase-3,UPRERAPRJ773536,"Promoter

Roseberry Estate LLP",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Golf Avenue II (Phase II),UPRERAPRJ10635,"Promoter

AIMS RG ANGEL PROMOTERS PRIVATE LIMITED",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
Golf country Phase-P2,UPRERAPRJ403642,"Promoter

SUPERTECH TOWNSHIP PROJECT LIMITED",Gautam Buddha Nagar,Residential,,,,100 acres,,,,2 BHK,,Ready to move,,,,https://www.99acres.com/supertech-golf-country-yamuna-expressway-greater-noida-npxid-r8874,https://www.99acres.com/supertech-faqs-golf-country-yamuna-expressway-greater-noida-npxid-r8874,DDG Snippet
GOLF GREEN AVENUE,UPRERAPRJ9984,"Promoter

Krishan Chand Bansal",Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
